Organisation,Address,Website,About,Email,Twitter,Phone number,Latitude,Longitude
The Julian Trust,"The Night Shelter, 16 Little Bishop St, Bristol BS2 9JF",juliantrust.org.uk,"The Julian Trust started life in 1986 when a small group of concerned individuals, including our founder Meg Grimes, felt there was a need to do something for those who were sleeping on the city streets of Bristol in doorways, derelict buildings, cemeteries, and car-park stairwells to name just a few of the uncomfortable and unsafe locations. They decided that an Emergency Night Shelter was required to provide the first rung on the ladder out of homelessness. Volunteers and money were needed. So the news spread, mainly by word of mouth, and the public responded. But nothing could happen until a building was found from which the Night Shelter could operate.",chair@juliantrust.org.uk,https://twitter.com/JulianTrust,0117 924 4604,51.46225,-2.584922
The Salvation Army Logos House,"Wade St, Bristol BS2 9EL",salvationarmy.org.uk,"Called to be disciples of Jesus Christ, The Salvation Army United Kingdom Territory with the Republic of Ireland exists to save souls, grow saints and serve suffering humanity.",info@salvationarmy.org.uk,https://twitter.com/salvationarmyuk,0117 955 2821,51.45955,-2.580179
St Mungo's,"The Compass Centre, 1 Jamaica St, Bristol BS2 8JP",mungos.org,"For nearly 50 years, St Mungo’s has been at the forefront of efforts to tackle homelessness. Each night our 17 outreach teams go out to help people sleeping rough to move away from the streets, and we provide a bed and support to over 2,800 people. We work to prevent homelessness and support people at every step of their recovery from homelessness.",info@mungos.org,https://twitter.com/StMungos,0117 944 0581,51.461864,-2.591793
Shelter Bristol,"New Bond House, Bond St, Bristol BS2 9AG",england.shelter.org.uk,"A home is a fundamental human need and a basic moral right, as vital as education or healthcare.
 But in Britain today, that right is being denied to millions of people whose lives are blighted by homelessness, bad conditions, soaring rents, discrimination and the threat of eviction.
 
 Our strategy sets out to be a turning point, an ambitious and fearless response to what has become a national emergency. Everything we do from now on will be to defend the right to a safe home.",press_office@shelter.org.uk,https://twitter.com/Shelter,0344 515 1430,51.459819,-2.5843
Caring in Bristol,"The Night Shelter, 14 Little Bishop St, Bristol BS2 9JF",caringinbristol.co.uk,"Caring at Christmas was formed in 1987 by members of the Julian Trust charity and other interested individuals. At the time the Julian Trust night shelter was based in St Thomas’ Church near Bristol Bridge and it was here that the Caring at Christmas project first opened its doors, offering a 24-hour provision for five days over the festive period.",info@caringinbristol.org.uk,https://twitter.com/caringinbristol,0117 924 4444,51.462194,-2.584833
Help Bristol's Homeless - Malago Site,Bristol BS3 4JR,helpbristolshomeless.co.uk,"Help Bristol’s Homeless CIC is a non-profit, social enterprise with a mission to change the face of homelessness in Bristol.
 
 Unlike many homeless charities, our ethos is that housing must come first, and then everything else comes after. Many complex factors can lead to homelessness, and while it is true that these issues need to be resolved to keep people off the street, we believe that the priority must be to get people into safe, stable and comfortable accommodation. From there, we can help them to improve their own lives and reach their potential.",contact@helpbristolshomeless.co.uk,https://twitter.com/HBHomeless,0117 422 6115,51.439278,-2.59728
Emmaus Bristol,"Backfields House, Upper York St, Bristol BS2 8WF",emmausbristol.org.uk,"In the decade since we first opened we have achieved our core aim of establishing a home and work for 23 previously homeless people. Support for the project has been from a very diverse number of funding and grant making bodies including private donations, company donations and a huge number of private individuals.",info@emmausbristol.org.uk,https://twitter.com/emmausbristol,0117 954 0886,51.46171,-2.589289
Emmaus Bristol,"Shaftesbury House, Kingsland Rd, Bristol BS2 0QW",emmausbristol.org.uk,"In the decade since we first opened we have achieved our core aim of establishing a home and work for 23 previously homeless people. Support for the project has been from a very diverse number of funding and grant making bodies including private donations, company donations and a huge number of private individuals.",info@emmausbristol.org.uk,https://twitter.com/emmausbristol,0117 954 0886,51.452464,-2.574732
St Mungos,"1 New St, Bristol BS2 9DX",mungos.org,"For nearly 50 years, St Mungo’s has been at the forefront of efforts to tackle homelessness. Each night our 17 outreach teams go out to help people sleeping rough to move away from the streets, and we provide a bed and support to over 2,800 people. We work to prevent homelessness and support people at every step of their recovery from homelessness.",info@mungos.org.,https://twitter.com/StMungos,020 8762 5500,51.457855,-2.58248
Help Bristol's Homeless,"50-51 Malago Rd, Bristol BS3 4JR",helpbristolshomeless.co.uk,"Help Bristol’s Homeless CIC is a non-profit, social enterprise with a mission to change the face of homelessness in Bristol.
 
 Unlike many homeless charities, our ethos is that housing must come first, and then everything else comes after. Many complex factors can lead to homelessness, and while it is true that these issues need to be resolved to keep people off the street, we believe that the priority must be to get people into safe, stable and comfortable accommodation. From there, we can help them to improve their own lives and reach their potential.
 
 Free clothing and food can help people to survive homelessness, but it does not provide a way out. Programmes aimed at resolving complex issues such as addiction are vital, but do not solve the day-to-day problems of being homeless. We do not believe a person suffering from homelessness can make the most of these programmes, or reach their own potential, when they face a daily task of finding a safe place to stay. We believe that the best way to help homeless people is to give them a secure base from which they can build their lives.
 
 We work with the support of our directors, staff and volunteers to build temporary accommodation, to be used by residents while they access the help they need to secure a permanent home. By providing users with the security and dignity that everyone deserves, we empower them to take an active role in improving their own situation. Our mission is to get homeless people off the street first, and then give them a helping hand in the right direction.",contact@helpbristolshomeless.co.uk,https://twitter.com/HBHomeless,07590 837381,51.439521,-2.597116
